ob_time,hour,day,month,wind_speed,air_temperature,rltv_hum,visibility,Site
01/01/2022 00:00,0,1,1,3,7,86.8,1000,1135
01/01/2022 01:00,1,1,1,1,7,86.8,1000,1135
01/01/2022 02:00,2,1,1,2,7,86.8,1000,1135
01/01/2022 03:00,3,1,1,3,7,81,1000,1135
01/01/2022 04:00,4,1,1,3,7,81,1000,1135
01/01/2022 05:00,5,1,1,3,7,75.3,1000,1135
01/01/2022 06:00,6,1,1,2,7,75.3,1000,1135
01/01/2022 07:00,7,1,1,1,6,81.7,1000,1135
01/01/2022 08:00,8,1,1,3,6,81.7,1000,1135
01/01/2022 09:00,9,1,1,3,5,80.9,1000,1135
01/01/2022 10:00,10,1,1,3,5,87.2,1000,1135
01/01/2022 11:00,11,1,1,5,6,81.7,1000,1135
01/01/2022 12:00,12,1,1,6,6,81.7,1000,1135
01/01/2022 13:00,13,1,1,4,6,81.7,1000,1135
01/01/2022 14:00,14,1,1,4,6,81.7,1000,1135
01/01/2022 15:00,15,1,1,4,6,81.7,900,1135
01/01/2022 16:00,16,1,1,3,6,81.7,1000,1135
01/01/2022 17:00,17,1,1,2,4,86.7,700,1135
01/01/2022 18:00,18,1,1,3,4,93.4,600,1135
01/01/2022 19:00,19,1,1,2,5,87.2,600,1135
01/01/2022 20:00,20,1,1,3,6,86.3,600,1135
01/01/2022 21:00,21,1,1,3,6,93.9,700,1135
01/01/2022 22:00,22,1,1,5,7,86.8,1000,1135
01/01/2022 23:00,23,1,1,5,7,92.6,1000,1135
02/01/2022 00:00,0,2,1,5,7,86.8,1000,1135
02/01/2022 01:00,1,2,1,6,8,81.8,1000,1135
02/01/2022 02:00,2,2,1,6,7,86.8,1000,1135
02/01/2022 03:00,3,2,1,5,7,81,1000,1135
02/01/2022 04:00,4,2,1,4,6,86.3,1000,1135
02/01/2022 05:00,5,2,1,6,6,86.3,1000,1135
02/01/2022 06:00,6,2,1,6,6,86.3,1000,1135
02/01/2022 07:00,7,2,1,5,6,86.3,1000,1135
02/01/2022 08:00,8,2,1,6,6,86.3,1000,1135
02/01/2022 09:00,9,2,1,7,6,86.3,1000,1135
02/01/2022 10:00,10,2,1,7,7,81,1000,1135
02/01/2022 11:00,11,2,1,8,7,81,1000,1135
02/01/2022 12:00,12,2,1,8,8,81.8,1000,1135
02/01/2022 13:00,13,2,1,7,8,81.8,1000,1135
02/01/2022 14:00,14,2,1,7,8,81.8,1000,1135
02/01/2022 15:00,15,2,1,7,9,81.2,1000,1135
02/01/2022 16:00,16,2,1,8,9,81.2,1000,1135
